iter	Passed	Remaining
533	6942	6058
534	6954	6044
535	6965	6029
536	6978	6016
537	6990	6003
538	7002	5989
539	7015	5975
540	7027	5962
541	7038	5948
542	7048	5931
543	7059	5917
544	7070	5902
545	7082	5889
546	7094	5875
547	7105	5861
548	7117	5847
549	7135	5838
550	7151	5827
551	7167	5816
552	7180	5804
553	7205	5800
554	7226	5794
555	7239	5781
556	7252	5768
557	7263	5753
558	7274	5738
559	7286	5725
560	7297	5710
561	7307	5695
562	7317	5680
563	7328	5665
564	7340	5651
565	7351	5636
566	7361	5621
567	7371	5606
568	7381	5591
569	7391	5576
570	7404	5563
571	7417	5550
572	7447	5549
573	7474	5547
574	7491	5537
575	7504	5523
576	7515	5509
577	7526	5495
578	7539	5482
579	7551	5468
580	7561	5453
581	7573	5439
582	7587	5426
583	7598	5412
584	7609	5398
585	7622	5384
586	7633	5371
587	7646	5357
588	7660	5345
589	7671	5331
590	7684	5317
591	7696	5304
592	7708	5290
593	7718	5275
594	7729	5261
595	7740	5246
596	7752	5233
597	7763	5218
598	7774	5204
599	7800	5200
600	7818	5190
601	7831	5177
602	7843	5164
603	7854	5149
604	7865	5135
605	7889	5129
606	7906	5119
607	7918	5105
608	7931	5092
609	7943	5078
610	7955	5064
611	7965	5050
612	7976	5035
613	7988	5022
614	8012	5016
615	8029	5005
616	8042	4992
617	8054	4978
618	8066	4964
619	8077	4950
620	8088	4936
621	8100	4922
622	8112	4909
623	8136	4902
624	8151	4891
625	8163	4877
626	8176	4864
627	8188	4850
628	8202	4838
629	8221	4828
630	8234	4815
631	8245	4801
632	8258	4788
633	8272	4775
634	8283	4761
635	8293	4746
636	8304	4732
637	8316	4718
638	8329	4705
639	8344	4693
640	8357	4680
641	8369	4667
642	8381	4653
643	8395	4641
644	8409	4628
645	8423	4615
646	8435	4602
647	8447	4588
648	8458	4574
649	8469	4560
650	8481	4546
651	8494	4533
652	8504	4519
653	8517	4506
654	8528	4492
655	8541	4479
656	8557	4467
657	8568	4453
658	8580	4440
659	8592	4426
660	8603	4412
661	8616	4399
662	8629	4386
663	8639	4371
664	8650	4357
665	8661	4343
666	8671	4329
667	8682	4315
668	8698	4303
669	8710	4290
670	8721	4276
671	8733	4262
672	8746	4249
673	8762	4238
674	8773	4224
675	8786	4211
676	8799	4198
677	8810	4184
678	8819	4169
679	8830	4155
680	8841	4141
681	8853	4128
682	8864	4114
683	8876	4100
684	8887	4086
685	8899	4073
686	8911	4060
687	8920	4045
688	8944	4037
689	8959	4025
690	8972	4012
691	8985	3999
692	8997	3985
693	9020	3977
694	9035	3965
695	9048	3952
696	9062	3939
697	9072	3925
698	9085	3912
699	9097	3899
700	9107	3884
701	9118	3870
702	9129	3856
703	9141	3843
704	9152	3829
705	9162	3815
706	9173	3801
707	9186	3788
708	9197	3775
709	9210	3762
710	9226	3750
711	9238	3736
712	9250	3723
713	9266	3711
714	9279	3698
715	9289	3684
716	9300	3670
717	9310	3656
718	9333	3647
719	9348	3635
720	9361	3622
721	9372	3608
722	9385	3595
723	9397	3582
724	9408	3568
725	9418	3554
726	9429	3541
727	9440	3527
728	9463	3517
729	9479	3505
730	9489	3492
731	9499	3477
732	9509	3463
733	9521	3450
734	9531	3436
735	9542	3422
736	9552	3408
737	9562	3394
738	9572	3380
739	9585	3368
740	9597	3354
741	9607	3340
742	9618	3326
743	9641	3317
744	9658	3305
745	9672	3293
746	9682	3279
747	9694	3266
748	9704	3252
749	9717	3239
750	9727	3225
751	9738	3211
752	9749	3198
753	9760	3184
754	9774	3171
755	9786	3158
756	9798	3145
757	9810	3132
758	9823	3119
759	9835	3105
760	9845	3092
761	9857	3078
762	9870	3065
763	9882	3052
764	9894	3039
765	9907	3026
766	9920	3013
767	9932	3000
768	9944	2987
769	9957	2974
770	9968	2960
771	9982	2948
772	9994	2934
773	10005	2921
774	10017	2908
775	10028	2894
776	10040	2881
777	10051	2868
778	10062	2854
779	10073	2841
780	10082	2827
781	10095	2814
782	10107	2801
783	10119	2788
784	10130	2774
785	10141	2761
786	10154	2748
787	10165	2734
788	10177	2721
789	10189	2708
790	10200	2695
791	10212	2682
792	10222	2668
793	10234	2655
794	10246	2642
795	10255	2628
796	10269	2615
797	10283	2603
798	10296	2590
799	10314	2578
800	10327	2565
801	10339	2552
802	10349	2539
803	10359	2525
804	10372	2512
805	10383	2499
806	10395	2486
807	10405	2472
808	10415	2459
809	10426	2445
810	10437	2432
811	10448	2419
812	10457	2405
813	10469	2392
814	10480	2379
815	10492	2365
816	10504	2352
817	10515	2339
818	10525	2326
819	10535	2312
820	10544	2298
821	10554	2285
822	10565	2272
823	10576	2258
824	10588	2246
